,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
69,10000,10000,1,0.5,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.9990149853247478,5.1069873577831447e-08,2024-02-14 17:40:18,4.678930997848511,2815.3832864761353
97,100,100,4,0.5,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0846817569140088,6.573852592502278e-07,2024-02-14 17:44:09,32.90877962112427,93.44483065605164
30,1000,1000,4,0.5,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0000857875441558,2.2667967822563498e-07,2024-02-14 18:06:05,228.9614531993866,609.1895749568939
112,1000,1000,2,0.7,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0018199918918682,2.3469044293528886e-07,2024-02-14 17:58:44,324.28167366981506,458.29081439971924
75,100,100,3,0.7,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0759829988897005,7.739122801782416e-07,2024-02-14 17:42:34,25.756059646606445,63.64175486564636
102,1000,1000,3,0.7,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.9986857309844651,2.0555516188134013e-07,2024-02-14 18:02:26,365.00143790245056,544.4942078590393
99,100,100,5,0.7,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.087568333679341,8.597408472279439e-07,2024-02-14 17:45:46,35.82856559753418,132.27075266838074
86,100,100,5,0.7,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.5190469248496932,1.5130942926531037e-06,2024-02-14 17:46:27,64.07108974456787,148.72187614440918
87,100,100,1,0.7,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.613564509302483,1.2275032090147301e-06,2024-02-14 17:41:03,27.334365367889404,48.362597942352295
114,1000,1000,3,0.7,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0007376473490974,2.2890134267043461e-07,2024-02-14 17:58:52,194.01511406898499,487.1116518974304
92,100,100,4,0.7,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.7001480521851375,9.16772720007855e-07,2024-02-14 17:43:46,35.921509742736816,72.77590107917786
78,1000,1000,1,0.7,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.9997254519922177,2.185166358148926e-07,2024-02-14 17:50:25,120.65803050994873,245.51889443397522
94,1000,1000,2,0.7,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0006293130882742,2.3196246724115673e-07,2024-02-14 17:51:18,108.57249641418457,219.5016951560974
120,100,100,4,0.7,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0809425620199438,7.700116304116187e-07,2024-02-14 17:44:10,33.122578859329224,93.59368443489075
13,1000,1000,1,0.7,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.9990567498026071,1.6812559482956452e-07,2024-02-14 17:53:07,237.98948550224304,293.24335837364197
29,1000,1000,5,0.7,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0010196152526312,2.4182975012752037e-07,2024-02-14 18:18:37,332.7936007976532,951.2130806446075
59,100,100,2,0.7,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.064055363489691,6.637399904466466e-07,2024-02-14 17:45:22,13.648565292358398,38.20813035964966
44,1000,1000,4,0.7,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0009378970172094,2.3836983319543547e-07,2024-02-14 18:04:29,200.35703492164612,519.2641243934631
17,100,100,1,0.7,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0404717292381116,4.3792276144573844e-07,2024-02-14 17:40:20,8.752398252487183,19.54173469543457
37,1000,1000,5,0.7,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0000683634333483,2.064290239881042e-07,2024-02-14 18:23:45,529.4399545192719,1062.2345583438873
65,100,100,3,0.7,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.3871989372315412,2.690427432261356e-06,2024-02-14 17:43:11,42.319390058517456,83.90237069129944
67,100,100,2,0.7,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.556678928733745,1.3763333499544903e-06,2024-02-14 17:41:48,40.24103760719299,75.96573781967163
