,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,steps_per_restart,epochs,batch_size,validation_size,optim,learning_rate,history_size,line_search_fn,tolerance_change,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
4,100,100,5,1.0,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.6134376645006826,0.002568748235019357,2024-03-11 22:45:12,704.8487248420715,28.351527214050293
5,100,100,4,1.0,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.6254920028627934,0.0026106399809731648,2024-03-11 21:48:53,660.4819233417511,26.366502285003662
46,100,100,2,1.0,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.5305738725372967,0.002451659438675905,2024-03-11 19:46:45,142.76913976669312,6.754623651504517
56,100,100,7,1.0,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.6108107152292317,0.002549310666911514,2024-03-12 03:38:21,5051.630842924118,149.92644262313843
73,100,100,4,1.0,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.6320185463920207,0.0024810469712074333,2024-03-11 21:43:09,666.7380893230438,13.516453981399536
72,100,100,7,1.0,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.6126529272716728,0.002546115173398867,2024-03-12 02:46:03,2268.9564061164856,95.46008253097534
36,100,100,3,1.0,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.6766992412958264,0.002707269057735778,2024-03-11 20:37:36,258.39057660102844,10.707996368408203
19,100,100,5,1.0,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.5903981112623397,0.002726202658128864,2024-03-11 22:53:58,1225.0068445205688,28.960684537887573
20,100,100,6,1.0,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.5828541265053941,0.0025565739133679125,2024-03-12 00:17:59,2086.4603700637817,53.956549644470215
34,100,100,2,1.0,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.601213485016926,0.002618934566180561,2024-03-11 19:51:08,546.2442231178284,9.721383571624756
31,100,100,1,1.0,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.594877457325962,0.0023017287160909737,2024-03-11 19:17:37,750.2127344608307,13.899363279342651
15,100,100,6,1.0,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.6151994978224574,0.002555156095180762,2024-03-12 00:16:09,1729.9334218502045,71.57288670539856
41,100,100,3,1.0,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.5767724504049718,0.0025475509519505596,2024-03-11 20:45:10,1042.3954298496246,19.3639919757843
