,dscrt,N,H,space,restarts,kappa,kappa_T,sigma,constraint,initial,epochs,batch_size,learning_rate,MC_,sig_comp,res,err,time,train_time,eval_time
14,10000,4,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-1.0000103651636358,5.843934916852425e-06,2023-12-20 03:43:00,10416.212785243988,33243.13291764259
17,100,3,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9901164776196824,5.543602209694628e-06,2023-12-19 14:59:27,71.40725874900818,171.04230785369873
18,100,4,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9904749102229522,5.91489218574053e-06,2023-12-19 15:04:16,115.02779459953308,403.5074625015259
21,1000,4,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9982426516899559,5.63354714885165e-06,2023-12-19 15:37:15,850.9276642799377,1562.7145216464996
22,1000,3,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9991071920933374,6.454486104459432e-06,2023-12-19 15:40:02,735.1440019607544,1806.1912608146667
23,100,7,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9903814189921624,5.6734124624718036e-06,2023-12-19 15:46:13,655.3905987739563,2239.7974429130554
29,100,5,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9901896601760445,5.591820054437509e-06,2023-12-19 15:04:28,143.38639569282532,385.346444606781
30,100,2,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9904609339556748,5.991821887372537e-06,2023-12-19 14:59:51,87.12951040267944,176.64648604393005
31,10000,5,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9992277075922286,5.6200694052712035e-06,2023-12-20 09:06:35,21757.82049393654,40807.636217832565
32,10000,2,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-1.000004834382922,6.0055223502835116e-06,2023-12-19 22:34:38,7600.623587608337,18550.497596740723
33,1000,1,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9980359817044304,5.8725097706566654e-06,2023-12-19 15:21:01,479.35955810546875,987.7843227386475
34,1000,6,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9990611374477738,6.364823954151661e-06,2023-12-19 17:28:07,2497.3637919425964,6163.059792518616
72,100,3,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9904516778918835,5.8985380690789006e-06,2023-12-19 15:01:32,68.53588128089905,229.91508078575134
40,1000,4,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9991165907495974,6.438328282897865e-06,2023-12-19 15:58:30,972.0411157608032,2617.872875928879
41,1000,3,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9986289312315827,5.9688493226320555e-06,2023-12-19 15:31:25,796.5204603672028,1279.2594330310822
48,100,5,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9904824772630154,5.920318802470071e-06,2023-12-19 15:07:23,135.62873435020447,496.5189869403839
73,100,4,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9903889709324727,5.6514208818320824e-06,2023-12-19 15:01:10,83.01174020767212,196.33720874786377
