,dscrt_train,dscrt,N,H,space,penalty,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,save_model,res,err,time,train_time,eval_time
82,100,100,1,0.4,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.17241927377514601,0.0002732313465125858,2024-03-01 11:11:53,73.26566219329834,7.614757537841797
196,100,100,3,0.4,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.15390314690140156,0.00020926791047781994,2024-03-01 11:23:32,713.7047801017761,16.50016689300537
169,1000,1000,5,0.5,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.12388835235625179,0.00018541861505344735,2024-03-01 16:47:53,15937.810064077377,379.127046585083
152,100,100,3,0.5,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.12530131410492312,0.00018690572205152479,2024-03-01 11:25:06,796.9641437530518,18.356273412704468
215,100,100,4,0.5,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.12492839699884459,0.00018687426036366456,2024-03-01 11:21:38,485.0081596374512,20.498201608657837
176,100,100,3,0.5,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.12505462584043583,0.0001871503777790505,2024-03-01 11:17:11,346.5803551673889,14.807384967803955
172,1000,1000,2,0.5,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.12400455351481139,0.0001875059205491906,2024-03-01 13:36:46,6941.804409980774,176.34068775177002
202,1000,1000,4,0.5,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.1235641426713522,0.00018458809353926993,2024-03-01 14:15:32,8420.777923345566,200.58144879341125
207,1000,1000,2,0.5,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.12704169565583104,0.0001948093136777894,2024-03-01 12:08:57,1975.687608718872,128.631530046463
134,100,100,2,0.5,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.12534497586026577,0.00018921459677509784,2024-03-01 11:23:19,720.5894455909729,13.67172646522522
109,1000,1000,1,0.5,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.13448164968462942,0.00021588995165282502,2024-03-01 12:28:55,3756.6172897815704,76.84167218208313
106,100,100,2,0.5,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.1284278399549366,0.00019748759121428878,2024-03-01 11:13:27,150.36976385116577,10.372074127197266
75,100,100,5,0.5,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.12508593057252526,0.00018727154231474018,2024-03-01 11:28:33,554.753466129303,21.630378246307373
54,1000,1000,3,0.5,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.1242940866034985,0.00018624962354520891,2024-03-01 13:59:55,8140.551959991455,182.24736618995667
44,100,100,5,0.5,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.12517177260587842,0.00018708661372145692,2024-03-01 11:39:00,1232.7247514724731,32.06336307525635
40,1000,1000,5,0.5,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.12404811037834051,0.00018596152320820805,2024-03-01 13:31:44,4960.759164571762,230.14975833892822
37,1000,1000,3,0.5,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.12397357389506901,0.0001845412012494992,2024-03-01 12:32:47,3179.0611612796783,139.4107527732849
31,100,100,4,0.5,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.12490200570405807,0.00018650171227692242,2024-03-01 11:21:40,529.7062304019928,11.682704210281372
97,100,100,1,0.5,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.14766079286148212,0.0002618917392468129,2024-03-01 11:11:53,68.59787106513977,7.480262517929077
16,1000,1000,4,0.5,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.12397042514269735,0.00018590239333179996,2024-03-01 13:17:39,4952.370073080063,201.22807836532593
91,100,100,1,0.5,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.13526988998934705,0.000217783063654474,2024-03-01 11:19:36,505.1576135158539,11.729721069335938
100,1000,1000,1,0.5,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.14596967349357645,0.0002586896611533519,2024-03-01 11:30:32,385.00522089004517,51.952768087387085
201,100,100,4,0.6,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.1021050758564642,0.00016684019311751386,2024-03-01 11:25:22,730.9189896583557,16.577099084854126
148,1000,1000,3,0.6,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.10042932280737518,0.00016308614553234925,2024-03-01 12:33:05,3175.3272943496704,139.65385580062866
