,dscrt_train,dscrt,N,H,space,penalty,initial,constraint,restarts,steps_per_restart,epochs,batch_size,n_batches,validation_size,learning_rate,optim,nn_dropout,max_gb,MC_,sig_comp,save_model,res,err,time,train_time,eval_time
124,1000,1000,1,0.4,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.16222615611763824,0.00013057729288874637,2024-05-21 21:17:31,19689.368949651718,461.4263036251068
216,1000,1000,4,0.4,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.15286884274068133,0.00011574979063656003,2024-05-21 18:47:41,2354.6881515979767,1185.0803582668304
116,100,100,2,0.4,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.15389818741121755,0.00010537579464861853,2024-05-21 14:57:12,2305.6163036823273,55.514479875564575
2,100,100,4,0.4,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.15369101252165038,0.00010404521975339118,2024-05-21 15:04:36,2665.813116788864,71.7664783000946
112,1000,1000,1,0.4,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.16180637825928618,0.0001315119668443722,2024-05-21 21:17:50,19459.799030542374,479.9476821422577
129,100,100,2,0.4,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.15397070101468088,0.00010505397013838931,2024-05-21 15:00:07,2382.0481522083282,75.81337356567383
17,100,100,4,0.4,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.15375088338410076,0.00010466129452432173,2024-05-21 15:07:23,2389.8439288139343,148.9753966331482
168,1000,1000,5,0.4,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.1526669782171384,0.00011741941862120797,2024-05-21 22:37:39,2223.9098200798035,2208.429528951645
145,100,100,5,0.4,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.1539643936898076,0.00010579743219279641,2024-05-21 16:02:10,3494.057441473007,107.93821930885315
164,1000,1000,2,0.4,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.1526374207632477,0.00011444201331157737,2024-05-21 17:59:54,6680.141930580139,599.6711504459381
57,1000,1000,5,0.4,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.15237268238030982,0.00011523946910795264,2024-05-21 20:47:47,4451.745804786682,991.9738042354584
61,1000,1000,3,0.4,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.15248143813372897,0.00011509161504646055,2024-05-21 17:59:48,4168.914593219757,838.7926828861237
38,100,100,5,0.4,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.1542120250521595,0.00010519084319506565,2024-05-21 15:58:12,2196.5753870010376,289.84918189048767
21,1000,1000,3,0.4,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.15270179711025997,0.00011498522458976668,2024-05-21 18:34:33,8617.688556671143,501.5203421115875
142,1000,1000,2,0.4,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.1532020077881941,0.00011252037496027069,2024-05-21 19:19:54,12622.854306221008,444.5526807308197
140,100,100,3,0.4,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.15381515880983662,0.00010352191074333246,2024-05-21 15:08:14,2861.5992527008057,76.624263048172
35,100,100,1,0.4,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.1627082316096073,0.00011915865718366396,2024-05-21 14:53:53,2133.9803586006165,51.64244556427002
193,1000,1000,4,0.4,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.1524477383274101,0.00011533651545781701,2024-05-21 19:08:58,7364.550778627396,667.1366894245148
82,100,100,1,0.4,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.16282779228494756,0.00012007220163422373,2024-05-21 14:53:46,2123.615878343582,48.93861150741577
196,100,100,3,0.4,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.1539671868336108,0.00010539871374782181,2024-05-21 14:56:06,2271.940067768097,51.837430000305176
169,1000,1000,5,0.5,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12384347151444733,0.00010182060222697673,2024-05-21 20:41:00,4325.902792453766,951.9206111431122
152,100,100,3,0.5,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12503275453792442,9.408722783634485e-05,2024-05-21 15:03:30,2634.5190844535828,65.78432011604309
215,100,100,4,0.5,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.1251129526480474,9.19953303503577e-05,2024-05-21 15:06:04,2329.5467574596405,146.93755626678467
176,100,100,3,0.5,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12502390877997327,9.32738562159764e-05,2024-05-21 15:22:55,3377.567292690277,102.8695936203003
172,1000,1000,2,0.5,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12415634538215106,0.00010262219388427286,2024-05-21 19:25:49,12880.132245063782,435.67180037498474
202,1000,1000,4,0.5,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12423522182096133,0.00010293869141806493,2024-05-21 18:04:19,4807.126591205597,425.0894751548767
207,1000,1000,2,0.5,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12466126292731633,0.00010309850862586465,2024-05-21 17:44:35,6265.1935868263245,534.7098774909973
134,100,100,2,0.5,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12531037528418992,9.468252998375653e-05,2024-05-21 14:58:55,2375.8542997837067,64.37780380249023
109,1000,1000,1,0.5,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.1345203393013264,0.00011911706527582403,2024-05-21 21:16:38,19625.738868951797,469.58357214927673
106,100,100,2,0.5,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12550249460452517,9.512406398255795e-05,2024-05-21 14:59:55,2381.3829765319824,75.3446671962738
75,100,100,5,0.5,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.1250407001528754,9.263746295862002e-05,2024-05-21 15:59:06,2217.7292330265045,288.29235100746155
54,1000,1000,3,0.5,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12381736865153753,0.0001028393837637678,2024-05-21 18:55:32,9157.759964704514,591.2149970531464
44,100,100,5,0.5,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12511565245659675,9.323120258646751e-05,2024-05-21 16:10:26,3854.994021654129,129.1695625782013
40,1000,1000,5,0.5,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12403851478943761,0.00010266841640425743,2024-05-21 22:26:17,2149.419661998749,2163.5533542633057
37,1000,1000,3,0.5,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12413921952065399,0.00010305803291572137,2024-05-21 17:59:54,4137.7374658584595,829.6986029148102
31,100,100,4,0.5,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12497872585137608,9.277552886405455e-05,2024-05-21 15:04:18,2652.464539527893,71.40026545524597
97,100,100,1,0.5,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.13588633423094634,0.00010932532165265384,2024-05-21 14:58:04,2318.1231067180634,59.49820923805237
16,1000,1000,4,0.5,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12407179180824497,0.0001032997192015105,2024-05-21 18:07:14,2057.2085275650024,855.1327757835388
91,100,100,1,0.5,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.13586475615267724,0.00010964599947145392,2024-05-21 14:46:52,1784.4181201457977,37.65391135215759
100,1000,1000,1,0.5,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.1344225284178609,0.0001195131975018163,2024-05-21 21:31:24,20023.3651034832,531.1723711490631
201,100,100,4,0.6,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.10131512745055837,8.280247223772845e-05,2024-05-21 15:05:40,2588.2590806484222,70.56434154510498
148,1000,1000,3,0.6,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.10072574194217686,9.069748694011635e-05,2024-05-21 17:52:56,3920.035042285919,798.2057902812958
161,100,100,3,0.6,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.10146503645866478,8.390119262496681e-05,2024-05-21 15:06:19,2597.6979410648346,64.86424970626831
