,dscrt_train,dscrt,N,H,space,penalty,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
147,100,100,5,0.3,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.1893999970579113,1.8077929392810874e-06,2024-02-14 17:15:10,26.43977165222168,90.70973229408264
72,100,100,2,0.3,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.18958925627980935,1.8036863996348754e-06,2024-02-14 17:15:32,31.33702063560486,54.76488947868347
151,1000,1000,2,0.3,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.18947628859602914,1.804870991158261e-06,2024-02-14 17:24:59,142.76292634010315,311.6937336921692
26,1000,1000,3,0.3,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.1884533347436508,1.7874224513068706e-06,2024-02-14 17:28:18,143.5547580718994,319.13945293426514
119,1000,1000,1,0.3,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.20353500735893817,2.214811113747047e-06,2024-02-14 17:22:02,125.61778736114502,249.6544861793518
153,100,100,1,0.3,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.1958296072248085,1.9723930380953716e-06,2024-02-14 17:08:46,23.16758918762207,35.467456340789795
179,100,100,3,0.3,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.18997786071468759,1.811015959619682e-06,2024-02-14 17:20:24,17.633474349975586,55.27434849739075
157,1000,1000,4,0.3,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.18854631855369194,1.8073454953310978e-06,2024-02-14 17:39:12,322.3635892868042,445.01296162605286
42,1000,1000,5,0.3,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.18814173502720102,1.7925486559145762e-06,2024-02-14 18:00:54,550.3331942558289,1133.7575678825378
46,100,100,1,0.3,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.20464584083105225,2.2424531835728605e-06,2024-02-14 17:08:15,8.747452974319458,19.45539355278015
58,1000,1000,5,0.3,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.1882538597186115,1.7908932622633872e-06,2024-02-14 17:56:29,360.55410957336426,1036.318823814392
171,100,100,5,0.3,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.18956486146137544,1.78908637019076e-06,2024-02-14 17:15:23,43.687519788742065,97.63307237625122
68,1000,1000,1,0.3,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.19547480546232388,1.9817519445995905e-06,2024-02-14 17:24:32,244.5650758743286,289.4529676437378
200,100,100,3,0.3,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.1904294842834747,1.8546579456623345e-06,2024-02-14 17:20:51,35.17080092430115,65.26100468635559
