,dscrt_train,dscrt,N,H,space,nn_hidden,epochs,penalty,initial,constraint,restarts,steps_per_restart,batch_size,n_batches,validation_size,learning_rate,optim,nn_dropout,max_gb,MC_,sig_comp,save_model,res,err,time,train_time,eval_time
34,1000,1000,1,0.875,log,2,41,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.05236298369346826,6.003891766067193e-05,2025-01-23 14:24:45,21773.379079818726,418.62620997428894
63,1000,1000,3,1.0,sig,0,61,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.03475697370360812,5.303557493143094e-05,2025-01-23 08:39:12,1699.0194537639618,207.77610111236572
59,1000,1000,5,1.0,sig,0,81,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.035631612425059106,5.469826039478858e-05,2025-01-23 15:02:55,1686.0648806095123,973.7167596817017
26,1000,1000,2,1.0,sig,0,51,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.03454715038685485,5.2596480815267276e-05,2025-01-23 08:47:37,3234.2309985160828,139.92627930641174
14,1000,1000,5,1.0,log,2,81,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.03445222485030338,5.259529347481327e-05,2025-01-23 15:42:10,8752.643591403961,679.5580506324768
35,1000,1000,4,1.0,log,2,71,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.034431637539563215,5.26557810599864e-05,2025-01-23 12:47:54,9869.33152604103,327.06272172927856
4,1000,1000,1,1.0,sig,0,41,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.0501759285615708,7.656154434479838e-05,2025-01-23 10:32:13,9171.431777954102,165.07955718040466
48,1000,1000,2,1.0,log,2,51,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.03448912190678082,5.26771433828679e-05,2025-01-23 13:50:29,19238.889537334442,353.9999396800995
45,1000,1000,3,1.0,log,2,61,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.034470746992904235,5.260690840843973e-05,2025-01-23 11:09:58,10191.20014333725,258.4172558784485
22,1000,1000,4,1.0,sig,0,71,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.03511722041641754,5.3739591696257286e-05,2025-01-23 10:53:10,1613.7745957374573,409.2233040332794
24,1000,1000,1,1.0,log,2,41,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.0343302948339476,5.2417811686439615e-05,2025-01-23 14:21:27,21807.677944660187,337.4642086029053
